Date_and_Time,Reported_range_in_cm,Temperature_in_degree_celcius,Daily_accumulative_rain_in_mm
4/22/2021 8:50,279.9,8,1019.67
4/17/2021 15:10,270.7,4.2,191.47
4/17/2021 8:50,269.4,4.1,121.36
4/17/2021 8:30,268.7,4.3,120.95
4/17/2021 8:20,268.4,4.3,120.95
4/17/2021 8:10,267.6,3.3,120.95
4/17/2021 8:00,267.4,4.3,120.54
4/17/2021 7:50,267,3.6,120.54
4/17/2021 7:40,266.7,3.5,120.54
4/17/2021 7:30,266.1,2,120.54
4/17/2021 7:20,265.9,2,120.54
4/17/2021 7:10,265.8,1.4,120.54
4/17/2021 6:50,265.5,1.7,120.13
4/17/2021 6:40,265.1,1.6,119.72
4/17/2021 6:20,265,1.1,119.72
4/17/2021 6:10,264.9,1,119.72
4/17/2021 6:00,264.9,0.3,119.72
4/17/2021 5:50,265.1,0.2,119.72
4/17/2021 5:40,265.2,0.1,119.31
4/17/2021 5:30,265.1,0,119.31
4/17/2021 5:10,264.9,0.9,119.31
4/17/2021 5:00,265,0.7,119.31
4/17/2021 4:50,264.4,0.5,118.9
4/17/2021 4:40,265.2,0.1,118.9
4/17/2021 4:30,265.2,0.9,118.08
4/17/2021 4:20,265,0.9,118.08
4/17/2021 4:10,265.5,0,117.67
4/17/2021 4:00,265,0.2,117.26
4/17/2021 3:50,264.7,0.2,117.26
4/17/2021 3:40,264.7,0.1,8.61
4/17/2021 3:30,264.9,0.9,8.61
4/17/2021 3:10,264.5,0.8,8.2
4/17/2021 3:00,265.8,0.5,7.79
4/17/2021 2:50,264.7,0.3,7.38
4/17/2021 2:40,264.4,0.1,6.97
4/17/2021 2:00,264.3,1.3,4.51
4/17/2021 1:50,263.6,1.5,4.51
4/17/2021 1:40,264.4,1.1,4.1
4/17/2021 0:10,263.7,0,1.23
4/17/2021 0:00,262.9,0.1,54.53
4/16/2021 23:50,263.8,0.9,53.3
4/16/2021 23:40,263.2,0.1,51.66
4/16/2021 23:30,263.4,0.3,50.84
4/16/2021 16:20,268.2,2.6,39.77
4/16/2021 4:00,262.3,0.2,11.89
4/16/2021 3:50,262.3,0.9,11.48
4/16/2021 3:40,262.1,0.8,11.07
4/16/2021 3:30,262,0.8,11.07
4/16/2021 3:00,262.2,0.6,9.84
4/16/2021 2:50,262.1,0.7,9.43
4/16/2021 2:40,261.3,0.7,9.02
4/16/2021 2:30,261.7,0.5,8.61
4/16/2021 2:20,261.7,0.3,8.2
4/16/2021 2:10,261.2,0.3,7.79
4/16/2021 2:00,261.3,0.1,7.38
4/16/2021 1:50,261.8,0.2,6.97
4/16/2021 1:40,261.2,0,6.56
4/16/2021 1:30,261.2,-0.5,6.15
4/16/2021 1:10,260.5,-0.1,4.51
4/16/2021 0:50,261.8,-0.2,2.87
4/16/2021 0:40,261.5,-0.1,2.05
4/16/2021 0:30,261.5,-0.9,1.64
4/16/2021 0:20,261.6,-0.8,1.23
4/16/2021 0:10,262.3,-0.5,0.41
4/15/2021 22:00,261,-0.5,46.74
4/11/2021 15:50,250.1,10,720.78
4/11/2021 15:40,253.5,18.2,720.78
4/11/2021 9:00,249.3,11.3,717.91
4/11/2021 8:30,249.3,10.5,717.91
4/11/2021 7:30,247,7,717.91
4/11/2021 7:20,245.7,5.5,717.91
4/11/2021 7:10,245.5,3.3,717.91
4/11/2021 7:00,244,1.5,717.91
4/11/2021 6:40,244.7,1.3,717.91
4/11/2021 6:30,244.7,0.3,717.91
4/11/2021 6:20,245.3,0.8,717.91
4/11/2021 6:10,244.7,0.7,717.91
4/11/2021 6:00,244.4,0.4,717.91
4/11/2021 5:50,245,0.5,717.91
4/11/2021 5:40,244.8,0.6,717.5
4/11/2021 5:30,244.2,0.6,717.5
4/11/2021 5:10,243.6,0.6,717.5
4/11/2021 5:00,243.8,0.2,717.5
4/11/2021 4:50,244.5,0,717.09
4/11/2021 4:40,245.4,0,717.09
4/11/2021 4:30,245.4,0.2,717.09
4/11/2021 4:20,244.7,0,716.68
4/11/2021 4:10,245,0,716.68
4/11/2021 4:00,245.2,-0.4,716.68
4/11/2021 3:50,244.9,0,716.27
4/11/2021 3:40,244.6,-0.7,716.27
4/11/2021 2:50,242.9,-0.9,715.04
4/11/2021 2:40,244.2,0.2,714.63
4/9/2021 13:50,238.8,10.4,1.23
4/9/2021 12:10,239.3,17.2,1.23
4/9/2021 12:00,240,18.1,1.23
